#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A189D7
#Date Time: 2025-04-28 09:56:42.755
#Sample rate: 1.5873e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 10.7 V Sample Mode: Average
#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: Square
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 500 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
0.0001313503448275862,0.4613995336545998,-9.820421174507256
0.0001319803448275862,0.4677115445132937,-9.80943701745654
0.0001326103448275862,0.4740235553719876,-9.952231059115849
0.0001332403448275862,0.4743557664698136,-10.08770232940801
0.0001338703448275862,0.4733591331763356,-10.21951221401661
0.0001345003448275862,0.4723624998828576,-10.32935378452377
0.0001351303448275862,0.4723624998828576,-10.43553396934735
0.0001357603448275862,0.4716980776872056,-10.51608445438594
0.0001363903448275862,0.4710336554915536,-10.58198939669023
0.0001370203448275862,0.4707014443937276,-10.63324879626024
0.0001376503448275862,0.4707014443937276,-10.67352403877953
0.0001382803448275862,0.4710336554915536,-10.69183096719739
0.0001389103448275862,0.4710336554915536,-10.70647650993168
0.0001395403448275862,0.4710336554915536,-10.68816958151382
0.0001401703448275862,0.4710336554915536,-10.67718542446311
0.0001408003448275862,0.4713658665893796,-10.63691018194381
0.0001414303448275862,0.4690403889045977,-10.58931216805738
0.0001420603448275862,0.4670471223176417,-10.52340722575308
0.0001426903448275862,0.4677115445132937,-10.47947059755022
0.0001433203448275862,0.4687081778067717,-10.42821119798021
0.0001439503448275862,0.4667149112198157,-10.38061318409377
0.0001445803448275862,0.4620639558502518,-10.31470824178948
0.0001452103448275862,0.4617317447524258,-10.26711022790304
0.0001458403448275862,0.4617317447524258,-10.21585082833303
0.0001464703448275862,0.4620639558502518,-10.16459142876302
0.0001471003448275862,0.4620639558502518,-10.10967064350945
0.0001477303448275862,0.4613995336545998,-10.06573401530658
0.0001483603448275862,0.4613995336545998,-10.01813600142015
0.0001489903448275862,0.4617317447524258,-9.977860758900853
0.0001496203448275862,0.4613995336545998,-9.926601359330846
0.0001502503448275862,0.4607351114589479,-9.882664731127981
0.0001508803448275862,0.4610673225567739,-9.842389488608688
0.0001515103448275862,0.4610673225567739,-9.794791474722253
0.0001521403448275862,0.4710336554915536,-9.838728102925117
0.0001527703448275862,0.4730269220785096,-9.992506301635141
0.0001534003448275862,0.4736913442741616,-10.13896172897802
0.0001540303448275862,0.4726947109806836,-10.2597874565359
0.0001546603448275862,0.4716980776872056,-10.36230625567591
0.0001552903448275862,0.4710336554915536,-10.45384089776521
0.0001559203448275862,0.4707014443937276,-10.53072999712023
